"Title","OS visits to UK:All visits Thousands-NSA","UK visits abroad:All visits Thousands-NSA","OS visits to UK:Earnings: £ Millions-NSA","UK visits abroad:Expenditure: £ Millions-NSA","OS visits to the UK: Thousands - SA","UK visits abroad: All visits Thousands - SA","OS visits to UK :Earnings: £ Millions-(Cur.Price-SA)","UK visits abroad:Expenditure abroad: £ Millions -(Cur.Price-SA)"
"CDID","GMAA","GMAF","GMAK","GMAM","GMAT","GMAX","GMAZ","GMBB"
"PreUnit","","","£","£","","","£","£"
"Unit","","","m","m","","","m","m"
"Release Date","17-05-2024","17-05-2024","17-05-2024","17-05-2024","17-05-2024","17-05-2024","17-05-2024","17-05-2024"
"Next release","July 2024","July 2024","July 2024","July 2024","July 2024","July 2024","July 2024","July 2024"
"Important Notes","","","","","","","",""
"2013 SEP","2879","7524","2291","4687","2870","5720","1930","3390"
"2013 OCT","3072","6095","2016","3720","2870","5470","1920","3440"
"2013 NOV","2481","4472","1507","2519","2720","5950","1750","3490"
"2013 DEC","2474","3925","1722","2194","2910","5850","1990","3550"
"2014 JAN","2456","4429","1506","2742","2810","5940","1960","3650"
"2014 FEB","2186","4019","1254","2498","2860","5910","1990","3630"
"2014 MAR","2405","4176","1361","2681","2780","5580","1760","3410"
"2014 APR","3054","5789","1665","3195","2950","5790","1850","3380"
"2014 MAY","3404","6595","2032","3612","3020","6350","1920","3590"
"2014 JUN","3379","7014","2236","3994","3170","5950","1980","3490"
"2014 JUL","3538","7073","2797","4260","2940","6040","2010","3550"
"2014 AUG","3671","9546","2778","5996","3050","6070","1990","3580"
"2014 SEP","3096","7858","2382","5047","3090","5990","2020","3680"
"2014 OCT","3081","6834","2059","4237","2870","6120","2010","3910"
"2014 NOV","2655","4798","1793","2634","2880","6330","2060","3550"
"2014 DEC","2412","4076","1562","2171","2840","6170","1810","3570"
"2015 JAN","2640","4746","1554","2797","3010","6200","1980","3740"
"2015 FEB","2281","4097","1170","2444","3000","6090","1870","3530"
"2015 MAR","2615","4989","1547","2984","3010","6460","2040","3860"
"2015 APR","3115","6328","1801","3413","3020","6330","2000","3610"
"2015 MAY","3598","6911","2221","3781","3200","6570","2060","3720"
"2015 JUN","3276","7437","2250","4248","3060","6390","2010","3770"
"2015 JUL","3689","7852","2563","5165","3040","6800","1860","4320"
"2015 AUG","3709","10065","2598","6491","3040","6520","1820","3860"
"2015 SEP","3114","8388","2412","5342","3130","6450","2050","3890"
"2015 OCT","3522","7278","2334","4364","3310","6500","2290","3950"
"2015 NOV","2660","4958","1647","2979","2880","6640","1910","4010"
"2015 DEC","2573","4569","1741","2472","3000","6770","2000","4080"
"2016 JAN","2857","4938","1586","2857","3260","6350","2000","3830"
"2016 FEB","2514","4931","1332","2928","3260","6760","2080","4060"
"2016 MAR","2827","5103","1529","3035","3220","6770","2020","3960"
"2016 APR","3059","6913","1787","4106","2990","6670","1960","4290"
"2016 MAY","3672","6965","2270","4089","3320","6880","2140","4090"
"2016 JUN","3406","7909","2476","4642","3160","6690","2220","4120"
"2016 JUL","3877","7989","2864","5184","3190","6750","2060","4270"
"2016 AUG","3854","10530","2981","7039","3140","6960","2100","4270"
"2016 SEP","3161","9030","2390","6016","3220","7050","2070","4400"
"2016 OCT","3535","7729","2176","4964","3330","6870","2110","4420"
"2016 NOV","3258","5079","1956","3400","3490","6870","2270","4580"
"2016 DEC","3107","4642","2067","2603","3570","6830","2320","4240"
"2017 JAN","3123","5482","1820","3052","3540","6990","2340","4200"
"2017 FEB","2528","4942","1426","3270","3330","7090","2300","4660"
"2017 MAR","3196","5511","1829","3525","3680","7250","2390","4610"
"2017 APR","3731","7660","2325","4393","3750","7280","2530","4530"
"2017 MAY","3619","7132","2346","4001","3290","7050","2240","4080"
"2017 JUN","3662","8951","2482","5724","3380","7770","2240","5060"
"2017 JUL","4344","8328","3521","5437","3500","7200","2550","4490"
"2017 AUG","4253","10819","3654","7523","3460","7210","2540","4570"
"2017 SEP","3302","9552","2913","6270","3360","7420","2540","4550"
"2017 OCT","3359","8305","2204","4919","3150","7380","2160","4390"
"2017 NOV","3183","5467","2076","3443","3410","7350","2380","4620"
"2017 DEC","2780","5093","1800","2872","3160","7260","1980","4610"
"2018 JAN","2734","5831","1708","3382","3170","7450","2220","4730"
"2018 FEB","2573","5071","1412","3276","3420","7250","2270","4650"
"2018 MAR","3240","5690","2074","4022","3710","7600","2660","5230"
"2018 APR","3404","8018","2157","4243","3440","7650","2390","4420"
"2018 MAY","3614","7603","2385","4840","3350","7520","2310","4960"
"2018 JUN","3503","9026","2396","5661","3240","7690","2150","4920"
"2018 JUL","4172","8746","2864","5935","3360","7670","2110","4980"
"2018 AUG","4126","11533","3259","8040","3310","7790","2240","4870"
"2018 SEP","3237","9644","2278","6548","3320","7430","1990","4710"
"2018 OCT","3491","8655","2212","5544","3290","7720","2170","4990"
"2018 NOV","3112","5700","1830","3463","3310","7540","2080","4640"
"2018 DEC","3075","5054","1931","3175","3380","7330","2100","5070"
"2019 JAN","2830","6149","1646","3994","3260","7830","2140","5590"
"2019 FEB","2372","5538","1318","3356","3150","7680","2100","4750"
"2019 MAR","3129","6473","1840","4106","3570","8300","2350","5330"
"2019 APR","3199","8406","1824","5018","3200","8010","2070","5290"
"2019 MAY","3438","8228","2347","5011","3210","8120","2290","5150"
"2019 JUN","3727","9125","2725","6128","3470","7760","2430","5240"
"2019 JUL","4155","8647","3090","5950","3370","7690","2310","5050"
"2019 AUG","4418","11628","3510","8687","3530","7780","2360","5210"
"2019 SEP","3292","9725","2593","7235","3360","7620","2320","5270"
"2019 OCT","3731","8434","2645","5827","3530","7520","2560","5230"
"2019 NOV","3121","5683","2201","3906","3360","7440","2460","5200"
"2019 DEC","3445","5050","2708","3108","3790","7370","2980","4990"
"2020 JAN","3036","5419","2026","3340","3480","7050","2620","4640"
"2020 FEB","2512","5232","1538","3454","3310","7090","2330","4690"
"2020 MAR","1446","3239","780","2421","1720","5240","1020","3200"
"2020 APR","95","219","82","151","","","",""
"2020 MAY","127","275","75","139","","","",""
"2020 JUN","176","445","61","113","","","",""
"2020 JUL","633","1360","69","1361","","","",""
"2020 AUG","993","2759","519","846","","","",""
"2020 SEP","696","2072","448","734","","","",""
"2020 OCT","570","1369","270","530","","","",""
"2020 NOV","358","659","156","309","","","",""
"2020 DEC","458","779","185","369","","","",""
"2021 JAN","82","150","89","145","","","",""
"2021 FEB","86","346","95","317","","","",""
"2021 MAR","78","423","103","495","","","",""
"2021 APR","81","296","122","360","","","",""
"2021 MAY","107","331","189","399","","","",""
"2021 JUN","158","525","234","544","","","",""
"2021 JUL","331","1432","433","1266","","","",""
"2021 AUG","759","3044","626","2444","","","",""
"2021 SEP","949","3633","716","2869","","","",""
"2021 OCT","1103","3263","867","2361","","","",""
"2021 NOV","1610","2833","1186","2057","","","",""
"2021 DEC","1039","2868","985","2289","","","",""
"2022 JAN","839","2558","702","2170","","","",""
"2022 FEB","1045","2985","787","2421","","","",""
"2022 MAR","1860","4034","1363","3090","","","",""
"2022 APR","2252","6234","1863","4627","","","",""
"2022 MAY","2728","6374","2229","5009","","","",""
"2022 JUN","2977","7815","2755","6195","","","",""
"2022 JUL","3445","7139","3257","6366","","","",""
"2022 AUG","3545","9361","3174","8400","","","",""
"2022 SEP","2956","8452","2635","7537","","","",""
"2022 OCT","3322","7418","2905","5876","","","",""
"2022 NOV","3238","4491","2258","3418","","","",""
"2022 DEC","3038","4089","2570","3426","","","",""
"2023 JAN","2898","5355","2106","4458","","","",""
"2023 FEB","2192","4720","1387","3931","","","",""
"2023 MAR","2596","5207","2129","4314","","","",""
"2023 APR","3126","7340","2329","5699","","","",""
"2023 MAY","3300","7525","2654","6136","","","",""
"2023 JUN","3479","8535","2930","7523","","","",""
"2023 JUL","4012","8620","3650","7560","","","",""
"2023 AUG","3810","10223","3622","8735","","","",""
"2023 SEP","3106","9477","2841","8161","","","",""
"2023 OCT","3715","8494","3095","7245","","","",""
"2023 NOV","2795","5711","2109","4476","","","",""
"2023 DEC","2931","4998","2224","4199","","","",""
